sampling_points_per_second,sampling,track_number,maximum_time,minimum_time_domain,median_time_domain,time_domain_average,time_domain_differential_peak,time_domain_average_rectifier,time_domain_variance,time_domain_standard_deviation,time_domain_kurtosis,time_domain_of_skewness,time_domain_root_mean_square,time_domain_RMS_factor,the_time_domain_peak_factor,time_domain_pulse_factor,time_domain_margin_factor,maximum_amplitude,minimum_amplitude,median_amplitude,average_amplitude,peak_amplitude_difference,peak_amplitude_threshold,center_of_gravity_frequency,mean_square_frequency,root_mean_square_frequency,frequency_variance,frequency_standard_deviation,maximum_power,power_minimum_value,median_power,power_average,SNR,bandwidth,type
600,1735,2,0.870079247,-1.10651377,-0.10677317,-1.29E-17,1.976593018,0.208176357,0.078741843,0.280581955,5.622986759,-0.571806603,0.280501084,1.34735372,7.048838263,9.495766084,5.544587108,0.076681307,7.17E-18,0.004584578,0.005007773,0.076681307,0.05751098,308.1488215,125081.2728,353.6683089,30125.57658,173.5672106,6.77E-06,5.92E-38,2.42E-08,5.08E-08,-7.406336788,294.1119455,2
600,1735,2,0.874533521,-1.113824023,-0.110192431,-8.11E-17,1.988357544,0.213251732,0.081571124,0.285603851,5.483065826,-0.589048614,0.285521533,1.33889882,6.964021538,9.32413489,6.432132102,0.074799111,1.23E-17,0.004617402,0.005186591,0.074799111,0.056099333,307.5510683,124547.5706,352.9129789,29959.91103,173.0893152,6.45E-06,1.74E-37,2.46E-08,5.46E-08,-8.027309278,294.5433143,2
600,1735,2,0.926828161,-1.065389856,-0.024236902,4.54E-17,1.992218018,0.337765917,0.230593047,0.480200304,3.406920825,-0.701964454,0.480061898,1.421286298,4.149931811,5.898243109,20.08989622,0.107980295,1.13E-17,0.006608833,0.008198543,0.107980295,0.080985221,302.7790165,121247.0912,348.2055302,29571.95839,171.9649917,1.34E-05,1.46E-37,5.03E-08,1.52E-07,-9.468414293,295.5920382,2
600,1735,2,0.872595197,-1.107980364,-0.104196185,1.01E-16,1.980575562,0.209424536,0.080383881,0.283516127,5.658477196,-0.688776288,0.28343441,1.353479642,6.988067029,9.457414438,4.660390295,0.079768598,9.60E-19,0.004338974,0.00501214,0.079768598,0.059826449,310.3763157,126872.0313,356.1910039,30538.57391,174.7528939,7.33E-06,1.06E-39,2.17E-08,5.39E-08,-7.31029617,296.2732789,2
600,1735,2,0.85708167,-1.123570186,-0.093662959,-6.64E-18,1.980651855,0.215026633,0.081962066,0.28629012,5.476262509,-0.379031867,0.286207603,1.331143363,6.920326182,9.212075215,9.856981531,0.074516148,4.86E-18,0.004490821,0.005146507,0.074516148,0.055887111,309.069187,125776.1231,354.6492959,30252.36074,173.9320578,6.40E-06,2.72E-38,2.32E-08,5.44E-08,-8.052037411,293.92105,2
600,1735,2,0.866596039,-1.114284698,-0.095668975,-7.44E-17,1.980880737,0.215775601,0.081316666,0.285160319,5.315412949,-0.392351994,0.285078128,1.321379598,6.948554491,9.181683251,4.236759606,0.074899671,6.14E-18,0.004360171,0.0050637,0.074899671,0.056174754,309.9319879,125983.4756,354.9415101,29925.63841,172.9902842,6.46E-06,4.35E-38,2.19E-08,5.37E-08,-7.936183883,296.1681794,2
600,1735,2,0.864382723,-1.104184171,-0.109143277,3.12E-17,1.968566895,0.213975798,0.08123721,0.284957445,5.365838344,-0.526155335,0.284875313,1.331204153,6.913386856,9.200522046,6.702969483,0.072592078,9.47E-18,0.004365965,0.004917419,0.072592078,0.054444059,308.1647359,124848.2471,353.3387144,29882.74264,172.8662565,6.07E-06,1.03E-37,2.20E-08,5.16E-08,-8.046363085,295.5611901,2
600,1735,2,0.874951647,-1.113466932,-0.10971327,7.15E-17,1.988418579,0.213406846,0.08210369,0.286536641,5.440555412,-0.566170171,0.286454054,1.342298583,6.941497852,9.317550219,5.048318226,0.074933934,3.07E-18,0.004541739,0.005117332,0.074933934,0.056200451,308.3402831,125696.4503,354.536952,30622.72011,174.9934859,6.47E-06,1.09E-38,2.38E-08,5.47E-08,-8.021378873,295.7301533,2
600,1735,2,0.859788966,-1.116895604,-0.090223241,2.88E-17,1.97668457,0.214435754,0.081886644,0.28613806,5.303929111,-0.486359822,0.286055587,1.333973968,6.911458815,9.218135879,4.928954808,0.082657803,2.00E-17,0.004467718,0.005078447,0.082657803,0.061993352,309.3673188,126023.0555,354.9972612,30314.91751,174.111796,7.87E-06,4.59E-37,2.30E-08,5.56E-08,-7.102902193,294.360895,2
600,1735,2,0.865639863,-1.106863799,-0.11176187,5.90E-17,1.972503662,0.216339999,0.083487726,0.288874216,5.297074391,-0.464304051,0.288790955,1.334736342,6.832546468,9.118067582,13.41224927,0.069761783,8.70E-18,0.0045494,0.005209322,0.069761783,0.052321337,306.2984502,123762.182,351.7984964,29943.44142,173.0417332,5.61E-06,8.73E-38,2.38E-08,5.78E-08,-9.000897386,294.7614209,2
600,1733,2,0.843183461,-1.141664561,-0.130434092,5.36E-17,1.984848022,0.241132923,0.099118234,0.314828702,4.472297663,-0.236319501,0.314737855,1.305256994,6.306500322,8.231697228,13.74846054,0.101687113,1.87E-17,0.004750738,0.005439996,0.101687113,0.076265335,305.7484146,123297.4743,351.1374009,29815.38122,172.6713098,1.19E-05,4.02E-37,2.60E-08,6.63E-08,-5.823251705,293.4207027,2
600,1733,2,0.853688217,-1.134974502,-0.130625747,1.49E-17,1.98866272,0.241633427,0.100726061,0.31727003,4.460757978,-0.234616734,0.317178479,1.312542915,6.274273151,8.234468617,6.039096644,0.106566564,9.15E-18,0.004247053,0.004991821,0.106566564,0.079924923,308.2122974,124817.3014,353.2949213,29822.48113,172.6918676,1.31E-05,9.65E-38,2.08E-08,6.35E-08,-5.059265995,293.9273621,2
600,1733,2,0.851246468,-1.133082756,-0.132762321,-2.18E-17,1.984329224,0.243388163,0.102320928,0.319867851,4.446338729,-0.186403401,0.31977555,1.313855171,6.205537578,8.153191606,12.6000843,0.106034665,4.92E-18,0.004522145,0.0052864,0.106034665,0.079525999,307.1816833,124256.016,352.4996681,29895.42943,172.902948,1.30E-05,2.79E-38,2.36E-08,6.70E-08,-5.417123139,294.7669338,2
600,1735,2,0.889165934,-1.106775228,-0.064615194,-2.01E-16,1.995941162,0.338027817,0.220377117,0.469441473,3.6700175,-0.653623084,0.469306168,1.388362662,4.25301981,5.904694448,54.85911841,0.097247336,6.14E-18,0.006881881,0.008466491,0.097247336,0.072935502,301.7716438,120668.4051,347.3735814,29602.2801,172.0531316,1.09E-05,4.35E-38,5.46E-08,1.47E-07,-10.29857882,295.8473912,2
600,1733,2,0.843157628,-1.145184657,-0.137021205,6.01E-18,1.988342285,0.240887825,0.097138147,0.311437447,4.312265161,-0.105313812,0.311347579,1.292283685,6.395282593,8.263015518,63.89086316,0.101644288,8.17E-19,0.005026745,0.005609697,0.101644288,0.076233216,305.0465675,122840.7598,350.4864616,29787.35142,172.5901255,1.19E-05,7.70E-40,2.91E-08,6.96E-08,-6.086255942,293.8592233,2
600,1733,2,0.845271943,-1.143116118,-0.116092803,8.77E-18,1.988388062,0.246063739,0.102910098,0.320717667,4.34864139,-0.158115491,0.320625121,1.30285735,6.204357899,8.08156217,13.49883312,0.102610197,3.20E-20,0.004462563,0.005150389,0.102610197,0.076957648,307.2122114,123905.702,352.0024176,29526.35913,171.8323576,1.21E-05,1.18E-42,2.30E-08,6.54E-08,-5.644734717,294.7169531,2
600,1733,2,0.839359422,-1.145671706,-0.135066847,-6.43E-17,1.985031128,0.245669617,0.101015078,0.317812729,4.257749251,-0.048649332,0.317721021,1.293348255,6.248371565,8.081620754,10.31236562,0.108847819,4.98E-18,0.00442314,0.005162603,0.108847819,0.081635864,307.1629379,123897.0054,351.9900644,29547.93503,171.895128,1.37E-05,2.86E-38,2.26E-08,6.58E-08,-5.017645379,294.3986341,2
600,1733,2,0.840774439,-1.139724828,-0.116668798,-1.25E-17,1.980499268,0.24608256,0.101230198,0.31816364,4.164377763,-0.095928407,0.318071831,1.29254125,6.226539045,8.048058336,9.378838079,0.107409048,9.45E-18,0.004614395,0.005284674,0.107409048,0.080556786,306.2801137,123456.0115,351.3630764,29648.50343,172.1874079,1.33E-05,1.03E-37,2.46E-08,6.79E-08,-5.346204556,294.4577432,2
600,1733,2,0.847221713,-1.145026822,-0.133689541,-8.57E-17,1.992248535,0.244813529,0.101849673,0.319115799,4.365204883,-0.157204569,0.319023715,1.303109739,6.245735481,8.137836864,8.474039466,0.104771836,1.33E-17,0.00442888,0.005162159,0.104771836,0.078578877,307.4206129,124350.1494,352.6331655,29842.71615,172.7504447,1.27E-05,2.05E-37,2.26E-08,6.61E-08,-5.471339456,293.9443154,2
